# cmb_I cmb_Q cmb_U pow_I pow_Q pow_U genmbb_I genmbb_Q genmbb_U sync_beta gdust_beta gdust_dbeta gdust_Td1 gdust_Td2 gdust_fI gdust_fQ
3.952245e+01 3.623921e-01 4.601340e-01 4.129057e+01 1.398342e+01 1.326960e+01 5.143188e+02 1.113458e+02 5.369361e+01 -3.116919e+00 1.415568e+00 6.932575e-02 1.905841e+01 2.592813e+01 3.330404e-01 1.364897e+00
3.952245e+01 3.623921e-01 4.601340e-01 4.129057e+01 1.398342e+01 1.326960e+01 5.143188e+02 1.113458e+02 5.369361e+01 -3.116919e+00 1.415568e+00 6.932575e-02 1.905841e+01 2.592813e+01 3.330404e-01 1.364897e+00
3.952245e+01 3.623921e-01 4.601340e-01 4.129057e+01 1.398342e+01 1.326960e+01 5.143188e+02 1.113458e+02 5.369361e+01 -3.116919e+00 1.415568e+00 6.932575e-02 1.905841e+01 2.592813e+01 3.330404e-01 1.364897e+00
3.952245e+01 3.623921e-01 4.601340e-01 4.129057e+01 1.398342e+01 1.326960e+01 5.143188e+02 1.113458e+02 5.369361e+01 -3.116919e+00 1.415568e+00 6.932575e-02 1.905841e+01 2.592813e+01 3.330404e-01 1.364897e+00
3.952245e+01 3.623921e-01 4.601340e-01 4.129057e+01 1.398342e+01 1.326960e+01 5.143188e+02 1.113458e+02 5.369361e+01 -3.116919e+00 1.415568e+00 6.932575e-02 1.905841e+01 2.592813e+01 3.330404e-01 1.364897e+00
3.991331e+01 3.753821e-01 4.589490e-01 4.081537e+01 1.401579e+01 1.305970e+01 5.099371e+02 1.100655e+02 5.563667e+01 -3.114626e+00 1.419037e+00 7.117399e-02 1.903731e+01 2.601178e+01 3.567632e-01 1.360051e+00
3.991331e+01 3.753821e-01 4.589490e-01 4.081537e+01 1.401579e+01 1.305970e+01 5.099371e+02 1.100655e+02 5.563667e+01 -3.114626e+00 1.419037e+00 7.117399e-02 1.903731e+01 2.601178e+01 3.567632e-01 1.360051e+00
3.991331e+01 3.753821e-01 4.589490e-01 4.081537e+01 1.401579e+01 1.305970e+01 5.099371e+02 1.100655e+02 5.563667e+01 -3.114626e+00 1.419037e+00 7.117399e-02 1.903731e+01 2.601178e+01 3.567632e-01 1.360051e+00
3.991331e+01 3.753821e-01 4.589490e-01 4.081537e+01 1.401579e+01 1.305970e+01 5.099371e+02 1.100655e+02 5.563667e+01 -3.114626e+00 1.419037e+00 7.117399e-02 1.903731e+01 2.601178e+01 3.567632e-01 1.360051e+00
4.024690e+01 3.789267e-01 4.588232e-01 4.064499e+01 1.399215e+01 1.296515e+01 5.082252e+02 1.096343e+02 5.601733e+01 -3.113167e+00 1.420502e+00 7.174079e-02 1.895565e+01 2.604708e+01 3.631979e-01 1.355649e+00
4.024690e+01 3.789267e-01 4.588232e-01 4.064499e+01 1.399215e+01 1.296515e+01 5.082252e+02 1.096343e+02 5.601733e+01 -3.113167e+00 1.420502e+00 7.174079e-02 1.895565e+01 2.604708e+01 3.631979e-01 1.355649e+00
4.024690e+01 3.789267e-01 4.588232e-01 4.064499e+01 1.399215e+01 1.296515e+01 5.082252e+02 1.096343e+02 5.601733e+01 -3.113167e+00 1.420502e+00 7.174079e-02 1.895565e+01 2.604708e+01 3.631979e-01 1.355649e+00
4.024690e+01 3.789267e-01 4.588232e-01 4.064499e+01 1.399215e+01 1.296515e+01 5.082252e+02 1.096343e+02 5.601733e+01 -3.113167e+00 1.420502e+00 7.174079e-02 1.895565e+01 2.604708e+01 3.631979e-01 1.355649e+00
4.209186e+01 4.090943e-01 4.783452e-01 3.487005e+01 1.364233e+01 1.206293e+01 4.681117e+02 9.906360e+01 6.168571e+01 -3.030067e+00 1.458631e+00 6.419138e-02 1.733552e+01 2.569320e+01 4.746769e-01 1.257280e+00
4.467084e+01 4.267726e-01 4.987459e-01 3.101858e+01 1.250904e+01 1.061052e+01 4.434048e+02 9.170483e+01 6.320843e+01 -3.068600e+00 1.523553e+00 5.781518e-02 1.603835e+01 2.715719e+01 5.213278e-01 1.169434e+00
4.467084e+01 4.267726e-01 4.987459e-01 3.101858e+01 1.250904e+01 1.061052e+01 4.434048e+02 9.170483e+01 6.320843e+01 -3.068600e+00 1.523553e+00 5.781518e-02 1.603835e+01 2.715719e+01 5.213278e-01 1.169434e+00
4.467084e+01 4.267726e-01 4.987459e-01 3.101858e+01 1.250904e+01 1.061052e+01 4.434048e+02 9.170483e+01 6.320843e+01 -3.068600e+00 1.523553e+00 5.781518e-02 1.603835e+01 2.715719e+01 5.213278e-01 1.169434e+00
4.512037e+01 4.315744e-01 5.132331e-01 2.800008e+01 1.223320e+01 1.021855e+01 4.274105e+02 8.871901e+01 6.428811e+01 -2.961060e+00 1.551719e+00 5.425195e-02 1.492676e+01 2.686488e+01 5.845196e-01 1.116059e+00
4.512037e+01 4.315744e-01 5.132331e-01 2.800008e+01 1.223320e+01 1.021855e+01 4.274105e+02 8.871901e+01 6.428811e+01 -2.961060e+00 1.551719e+00 5.425195e-02 1.492676e+01 2.686488e+01 5.845196e-01 1.116059e+00
